Date,Close,High,Low,Open,Volume
2024-05-29,140.39352416992188,140.97940380115028,139.44021591463982,139.96651662097324,1850300
2024-05-30,144.47483825683594,144.742943402266,141.44611682616508,141.65464305038847,1809100
2024-05-31,146.7687225341797,147.0467676106344,144.07762500210418,145.49765499829525,4213600
2024-06-03,145.90476989746094,147.02689002696764,145.2295219573705,146.76870966498933,1911800
2024-06-04,142.86611938476562,145.5472918279554,141.71422498469482,144.97133705176077,2448300
2024-06-05,145.07064819335938,145.14016703898386,141.9724229530517,143.98825734367756,1557900
2024-06-06,142.6973114013672,145.53735598292994,142.42919111907563,144.77272451611566,1570600
2024-06-07,139.24160766601562,140.7013518641314,137.1165402517747,138.03011907775192,2866300
2024-06-10,141.22763061523438,141.44609673016674,137.7917668413763,138.10954124575701,1602700
2024-06-11,138.58619689941406,140.36371539323622,138.3180766219596,140.36371539323622,1813100
2024-06-12,142.7270965576172,148.83419303453414,141.99226972415966,143.96837448150455,3222700
2024-06-13,142.45899963378906,143.0845934398527,140.254488701917,142.0319921241933,1712200
2024-06-14,141.7837371826172,142.1015116240057,138.7947452108633,140.4133614206881,1843300
2024-06-17,142.26039123535156,142.6476693861286,139.79769979329043,141.15813570586,2393900
2024-06-18,138.4273223876953,141.0687657206175,137.36479625370208,140.67156280464846,2705800
2024-06-20,140.1651153564453,140.95953636164475,138.38761180499586,138.75502526956845,2821100
2024-06-21,141.39646911621094,141.78374727401794,138.38761223963627,140.4332361066334,3460100
2024-06-24,143.0448760986328,144.3258682949095,140.82050052458453,141.09854557730068,1907500
2024-06-25,139.46006774902344,142.99522505518328,138.19892506317902,142.836337835232,1931400
2024-06-26,139.34091186523438,139.8870620689608,138.59614505762255,138.63585928700795,1630900
2024-06-27,140.21475219726562,140.44314309415168,138.02018129833394,139.43027121109947,1405600
2024-06-28,139.94664001464844,141.43617361949939,138.77488085194568,140.72121142930476,2792000
2024-07-01,136.06393432617188,140.77085083359108,135.9844907154057,140.54245992283802,2477900
2024-07-02,134.26657104492188,134.66377396077934,132.09184947265035,133.06500722312512,3632800
2024-07-03,135.08082580566406,136.808690107893,133.4919840229948,133.50192394373934,1616800
2024-07-05,134.61410522460938,135.85538314258832,133.74024072161035,135.3191577490415,1657100
2024-07-08,135.2297821044922,136.82854876211928,134.09773718341157,135.6667143814565,1666000
2024-07-09,135.05104064941406,136.72925085832557,134.35592802947642,135.05104064941406,1721800
2024-07-10,138.61598205566406,139.34089925916018,135.795802302537,136.0142684251909,2926300
2024-07-11,148.68524169921875,149.51939204214497,142.71718245018263,143.03494174322918,4564700
2024-07-12,152.66726684570312,154.26603349081824,149.8073575296415,149.84707175800054,4024000
2024-07-15,151.09828186035156,153.699995524664,150.61169546223582,152.8956498591212,2547300
2024-07-16,161.1278076171875,161.50516097429502,153.30280148413485,153.81916221749134,3237700
2024-07-17,156.4109649658203,161.08810750155627,155.99389734357644,159.29073924177172,4137400
2024-07-18,172.20993041992188,176.23167388150483,164.41471423124207,166.0631197810748,9608600
2024-07-19,172.6270294189453,175.8245631117955,169.93594690343738,172.53766102964528,4125200
2024-07-22,175.92385864257812,176.76791862295812,170.8296486900827,173.32212955306824,3653700
2024-07-23,175.32803344726562,177.46304070995325,173.60018415960818,175.56636427936155,3051100
