Date,Close,High,Low,Open,Volume
2024-05-29,38.90327835083008,39.70661950194625,38.55059126259361,39.510685552659794,3331700
2024-05-30,39.060028076171875,39.63804220063675,38.9032786731238,38.94246695818596,4142500
2024-05-31,39.99073028564453,40.05930791760732,39.24617153696256,39.34413851485207,12948700
2024-06-03,38.05095291137695,39.990728118642565,38.00196942508649,39.91235528801792,7643200
2024-06-04,37.268951416015625,37.843079358033165,36.55623722142489,37.71439401154556,9975600
2024-06-05,37.37783432006836,37.753989447102896,37.16006347901823,37.457026463060565,7238800
2024-06-06,37.99156188964844,38.070750256112994,37.358039853575185,37.45702625567819,3668800
2024-06-07,37.60551071166992,38.19943669347201,37.48672249443806,37.81338442769172,3753900
2024-06-10,37.753990173339844,38.130145307610114,37.64510286267561,37.793586245597616,3672400
2024-06-11,37.70449447631836,37.833179814596924,37.100667630652445,37.52631593903698,3226800
2024-06-12,37.674800872802734,38.70427229340971,37.64510193129954,38.35781610994907,4198100
2024-06-13,36.54633712768555,37.63520647985675,36.4176555544269,37.52631916703069,8790600
2024-06-14,36.209781646728516,36.368162161990924,35.912814876533325,36.25927484973127,6994100
2024-06-17,36.00190353393555,36.3681615372609,35.78413268924643,36.34836350118202,19316800
2024-06-18,36.63542556762695,36.87299822437739,36.061297625954744,36.14048599414537,4277900
2024-06-20,36.76411056518555,37.27884816985279,36.595832924321435,36.77401147117122,4113700
2024-06-21,36.30876541137695,36.84330102753518,36.18008007205981,36.6750196182606,3676500
2024-06-24,37.50651931762695,37.655002696319954,36.407752888348455,36.51664019591143,6702600
2024-06-25,37.348140716552734,37.50652123307209,37.011581646937934,37.41743195652437,5407500
2024-06-26,36.922489166259766,37.30854140576853,36.68492030014162,36.952188106591315,4401600
2024-06-27,37.62530517578125,37.6451032120939,37.11057133600964,37.17986257505925,4583800
2024-06-28,37.714393615722656,38.11034678102615,37.41743062978965,37.912370198374404,3880400
2024-07-01,37.83318328857422,38.25883163604329,37.76389204838989,37.87277558575856,3028900
2024-07-02,38.37761306762695,38.387510197123895,37.92226958898588,38.08065009356056,4205100
2024-07-03,38.63498306274414,39.04083337419475,38.456804508830274,38.595390765499474,1332900
2024-07-05,37.39763259887695,38.61518348462627,37.22935495805864,38.54589224710235,7892800
2024-07-08,37.565914154052734,37.68469859366106,37.18975902318893,37.308543462797246,3074900
2024-07-09,37.08087158203125,37.55601311486905,37.041275510272456,37.33824227237417,3482200
2024-07-10,37.50651931762695,37.783684263358765,36.98188459146626,37.24915240746016,3323300
2024-07-11,37.84307861328125,38.03115428822391,37.070974101729156,37.66490006814012,2564100
2024-07-12,37.88267517089844,38.26872743162955,37.62530447968486,38.24892939568318,2071100
2024-07-15,38.466705322265625,38.80326439261314,37.694600774564016,38.08065304841482,2721400
2024-07-16,38.001461029052734,38.2984240271552,37.902474621715044,38.11034834277783,5479200
2024-07-17,38.45680236816406,38.793361420590486,37.98166084287191,38.01135978426398,3083800
2024-07-18,38.42710876464844,38.83295907000264,38.29842341629047,38.70427372164467,3057400
2024-07-19,38.13014602661133,38.70427398081793,37.83318303125692,38.27862563624385,2462600
2024-07-22,38.38751220703125,38.506300423748634,37.69459982329293,38.05095314517723,2885600
2024-07-23,37.70449447631836,38.159837948886775,37.437226670396285,38.159837948886775,3616900
2024-07-24,37.65500259399414,38.18953822452935,37.506519215704635,37.62530365268274,2695300
2024-07-25,38.09054946899414,38.24892998290743,37.33824297192835,37.56591472467312,2271600
