25,ACN,-4.68%,-15.12%,-17.00%,-8.13%,-10.47%,-12.19%,2.89%,2.40%,1.68,3.13M,1.23,308.90,0.56%,"3,864,332"
26,ACVA,16.03%,-5.54%,-21.87%,-21.16%,-14.08%,-24.26%,5.04%,5.94%,1.29,2.04M,0.88,16.36,2.19%,"1,784,713"
27,ADBE,3.14%,-9.18%,-7.72%,-22.72%,-21.05%,-9.23%,2.29%,2.79%,1.79,3.78M,0.96,403.64,2.32%,"3,644,214"
28,ADC,-2.45%,3.03%,8.19%,0.91%,33.33%,6.64%,1.55%,1.92%,1.52,1.07M,0.62,75.13,-0.77%,"660,223"
29,ADEA,4.63%,-16.49%,3.64%,13.66%,29.13%,1.79%,2.44%,3.26%,1.33,650.28K,1.12,14.23,2.52%,"726,998"
30,ADI,2.11%,-9.88%,2.79%,-5.82%,9.44%,0.53%,1.96%,2.82%,1.82,3.69M,0.69,213.58,0.58%,"2,549,789"
31,ADM,-3.42%,-4.86%,-6.74%,-24.95%,-26.28%,-8.85%,2.29%,2.90%,3.23,4.59M,0.84,46.05,0.26%,"3,852,966"
32,ADMA,8.07%,30.28%,12.96%,1.20%,226.66%,17.90%,4.95%,6.51%,1.00,2.68M,0.89,20.22,-0.49%,"2,396,206"
33,ADNT,4.21%,-14.88%,-15.47%,-35.64%,-56.74%,-15.32%,5.43%,5.12%,2.85,1.49M,2.59,14.59,4.51%,"3,868,316"
34,ADP,1.17%,-4.11%,2.76%,8.31%,20.26%,2.27%,1.23%,1.88%,2.85,1.77M,0.83,299.38,0.16%,"1,474,794"
35,ADPT,14.56%,0.00%,40.33%,81.08%,152.85%,40.45%,7.88%,9.62%,1.25,1.70M,1.06,8.42,-2.77%,"1,794,460"
36,ADSK,5.05%,-4.27%,-7.00%,2.17%,2.76%,-7.61%,1.99%,2.88%,1.79,1.64M,0.65,273.08,1.45%,"1,068,092"
37,ADT,8.31%,11.25%,20.91%,13.24%,23.64%,18.81%,3.19%,3.19%,2.80,11.54M,1.85,8.21,1.61%,"21,339,996"
38,ADTN,4.76%,-11.09%,12.75%,64.81%,73.26%,13.57%,3.50%,5.88%,1.75,1.21M,0.66,9.46,0.32%,"804,218"
39,AEE,-2.67%,-1.68%,9.72%,13.50%,35.35%,9.02%,1.57%,1.89%,2.33,1.74M,0.80,97.18,-1.65%,"1,395,199"
